image,store,color_name,color,cost,category,title,description
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\3m.jpg,Soul Half Zipper,maroon,#7d1f2d,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\4m.jpg,Soul Half Zipper,maroon,#7d1f2d,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\1Beige.jpg,TAGAS,beige,#ddcdb3,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\2Beige.jpg,TAGAS,beige,#ddcdb3,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\3Beige.jpg,TAGAS,beige,#ddcdb3,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\4Beige.jpg,TAGAS,beige,#ddcdb3,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\1Blue.jpg,TAGAS,navy blue,#283659,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\2Blue.jpg,TAGAS,navy blue,#283659,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\3Blue.jpg,TAGAS,navy blue,#283659,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\4Blue.jpg,TAGAS,navy blue,#283659,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\1Olive.jpg,TAGAS,olive,#59624f,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\2Olive.jpg,TAGAS,olive,#59624f,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\3Olive.jpg,TAGAS,olive,#59624f,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\TAGAS\4Olive.jpg,TAGAS,olive,#59624f,24.99,sweatshirts,TAGAS Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\JumpCuts\1Navy.jpg,Jump Cuts,navy blue,#212735,50,sweatshirts,JC JUMP CUTS Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\JumpCuts\2Navy.jpg,Jump Cuts,navy blue,#212735,50,sweatshirts,JC JUMP CUTS Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\JumpCuts\3Navy.jpg,Jump Cuts,navy blue,#212735,50,sweatshirts,JC JUMP CUTS Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\JumpCuts\1Olive.jpg,Jump Cuts,olive,#3c4b41,50,sweatshirts,JC JUMP CUTS Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\JumpCuts\2Olive.jpg,Jump Cuts,olive,#3c4b41,50,sweatshirts,JC JUMP CUTS Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\JumpCuts\3Olive.jpg,Jump Cuts,olive,#3c4b41,50,sweatshirts,JC JUMP CUTS Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\ANUGRAHA\1Blue.jpg,ANUGRAHA,blue,#c0dcea,44.99,sweatshirts,ANUGRAHA Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\ANUGRAHA\2Blue.jpg,ANUGRAHA,blue,#c0dcea,44.99,sweatshirts,ANUGRAHA Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\ANUGRAHA\3Blue.jpg,ANUGRAHA,blue,#c0dcea,44.99,sweatshirts,ANUGRAHA Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\ANUGRAHA\4Blue.jpg,ANUGRAHA,blue,#c0dcea,44.99,sweatshirts,ANUGRAHA Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\ANUGRAHA\1White.jpg,ANUGRAHA,white,#e2e4e1,44.99,sweatshirts,ANUGRAHA Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\ANUGRAHA\2White.jpg,ANUGRAHA,white,#e2e4e1,44.99,sweatshirts,ANUGRAHA Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\ANUGRAHA\3White.jpg,ANUGRAHA,white,#e2e4e1,44.99,sweatshirts,ANUGRAHA Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\ANUGRAHA\4White.jpg,ANUGRAHA,white,#e2e4e1,44.99,sweatshirts,ANUGRAHA Sweatshirts,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\AbsoluteDefense\1Lavender.jpg,ABSOLUTE DEFENSE,purple,#c1a8e1,29.99,Hoodie,ABSOLUTE DEFENSE Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\AbsoluteDefense\2Lavender.jpg,ABSOLUTE DEFENSE,purple,#c1a8e1,29.99,Hoodie,ABSOLUTE DEFENSE Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\AbsoluteDefense\1Brown.jpg,ABSOLUTE DEFENSE,brown,#c19b6c,29.99,Hoodie,ABSOLUTE DEFENSE Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\AbsoluteDefense\2Brown.jpg,ABSOLUTE DEFENSE,brown,#c19b6c,29.99,Hoodie,ABSOLUTE DEFENSE Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\AbsoluteDefense\1Pink.jpg,ABSOLUTE DEFENSE,pink,#f3bbd4,29.99,Hoodie,ABSOLUTE DEFENSE Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\AbsoluteDefense\2Pink.jpg,ABSOLUTE DEFENSE,pink,#f3bbd4,29.99,Hoodie,ABSOLUTE DEFENSE Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\CrazyMonk\1Lilic.jpg,Crazy Monk,purple,#b2a5d3,32,Hoodie,Crazy Monk Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\CrazyMonk\2Lilic.jpg,Crazy Monk,purple,#b2a5d3,32,Hoodie,Crazy Monk Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\CrazyMonk\1NB.jpg,Crazy Monk,navy blue,#3b5882,32,Hoodie,Crazy Monk Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\CrazyMonk\2NB.jpg,Crazy Monk,navy blue,#3b5882,32,Hoodie,Crazy Monk Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\DudeMe\1White.jpg,DUDEME,white,#d7d7d7,30,Hoodie,DUDEME Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\DudeMe\1Other.jpg,DUDEME,white,#d7d7d7,30,Hoodie,DUDEME Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\DudeMe\1Measure.jpg,DUDEME,white,#d7d7d7,30,Hoodie,DUDEME Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\DudeMe\2NB.jpg,DUDEME,navy blue,#233855,30,Hoodie,DUDEME Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\DudeMe\2Other.jpg,DUDEME,navy blue,#233856,30,Hoodie,DUDEME Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\DudeMe\2Measure.jpg,DUDEME,navy blue,#233857,30,Hoodie,DUDEME Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\DudeMe\3B.jpg,DUDEME,black,#020202,30,Hoodie,DUDEME Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\DudeMe\3Other.jpg,DUDEME,black,#020202,30,Hoodie,DUDEME Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\DudeMe\3Measure.jpg,DUDEME,black,#020202,30,Hoodie,DUDEME Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\Luffy\1B.jpg,Luffy,black,#020205,30,Hoodie,Luffy Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\Luffy\2B.jpg,Luffy,black,#020205,30,Hoodie,Luffy Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\Luffy\1Other.jpg,Luffy,black,#020205,30,Hoodie,Luffy Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\top\Hoodies\Luffy\1Measure.jpg,Luffy,black,#020205,30,Hoodie,Luffy Hoodie,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\1Beige.jpg,WANDERLOOMS,beige,#eacfba,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\2Beige.jpg,WANDERLOOMS,beige,#eacfba,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\3Beige.jpg,WANDERLOOMS,beige,#eacfba,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\4Beige.jpg,WANDERLOOMS,beige,#eacfba,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\1B.jpg,WANDERLOOMS,black,#2e292f,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\2B.jpg,WANDERLOOMS,black,#2e292f,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\3B.jpg,WANDERLOOMS,black,#2e292f,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\4B.jpg,WANDERLOOMS,black,#2e292f,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\1NB.jpg,WANDERLOOMS,navy blue,#43435f,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\2NB.jpg,WANDERLOOMS,navy blue,#43435f,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\3NB.jpg,WANDERLOOMS,navy blue,#43435f,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\WanderLooms\4NB.jpg,WANDERLOOMS,navy blue,#43435f,9.99,Cap,WANDERLOOMS Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\Selloria\1B.jpg,SELLORIA,black,#171715,12,Cap,SELLORIA Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\Selloria\2B.jpg,SELLORIA,black,#171715,12,Cap,SELLORIA Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
E:\Projects\Frontend\loong scales\assests\caps\Selloria\3B.jpg,SELLORIA,black,#171715,12,Cap,SELLORIA Cap,"65% ring-spun cotton, 35% polyester.Charcoal Heather is 60% ring-spun cotton, 40% polyester.Carbon Grey is 55% ring-spun cotton, 45% polyester.Heavyweight fabric (8.5 oz).Regular fit but can run a bit tight.Unisex sizing"
